Gol,Başarılı Top Sürme,Başarılı Top Sürme %,Toplam Şut,İsabetli Şut,Yaratılan Büyük Şans,İsabetli Pas,İsabetli Pas %,Kilit Pas,İsabetli Orta,İsabetli Uzun Top,Top Çalma,Pas Arası,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,Oyuncu,Oyuncu ID,Takım,Takım ID,Takım Kısaltması
0.07,2.15,60.0,1.56,0.2,0.33,27.77,80.57,1.5,0.26,1.43,2.54,1.24,7.22,1.24,58.3,2.54,Ibrahim Olawoyin,1008173,Çaykur Rizespor,3064,Çaykur Rizespor
0.0,0.26,33.33,1.54,0.09,0.17,47.44,86.99,2.91,2.31,4.19,1.62,0.77,3.85,0.94,48.28,1.97,Jakub Kałuziński,1019026,Antalyaspor,3056,Antalyaspor
0.0,0.39,54.55,0.52,0.2,0.2,43.18,87.81,0.85,0.13,2.28,2.8,0.91,4.43,0.52,53.15,1.3,Lucas Torreira,754794,Galatasaray S.K.,3061,Galatasaray S.K.
0.0,0.71,63.16,0.35,0.06,0.06,35.41,88.63,0.65,0.41,1.42,3.66,1.65,5.02,0.94,53.72,0.77,Melih Kabasakal,828872,Eyüpspor,7040,Eyüpspor
0.0,0.7,87.5,0.6,0.1,0.4,41.15,84.6,0.8,0.2,4.89,2.5,1.6,4.0,1.2,68.42,0.8,Berat Ayberk Özdemir,876857,Başakşehir FK,3086,Başakşehir FK
0.0,1.18,66.67,0.81,0.22,0.37,22.33,73.37,1.77,1.03,1.47,1.55,0.52,4.42,1.7,56.85,1.77,Olivier Kemen,280447,Başakşehir FK,3086,Başakşehir FK
0.0,0.14,20.0,0.5,0.07,0.07,38.53,87.36,0.43,0.29,1.79,3.0,2.29,4.15,1.86,53.16,1.0,Richard Cândido,897617,Alanyaspor,6362,Alanyaspor
0.0,0.85,60.87,0.73,0.18,0.06,29.13,81.97,0.66,0.3,2.9,2.66,0.97,5.92,0.85,60.87,2.48,Charis Charisis,317297,Sivasspor,3076,Sivasspor
0.0,0.17,40.0,0.96,0.0,0.26,54.23,87.2,0.7,0.09,5.07,1.84,0.96,2.1,1.75,49.44,0.09,John Lundstram,149815,Trabzonspor,3051,Trabzonspor
0.0,1.17,78.26,0.91,0.32,0.0,48.92,89.35,0.39,0.19,2.33,1.1,0.91,3.56,1.23,56.92,1.3,Batista Mendy,859021,Trabzonspor,3051,Trabzonspor
0.0,0.75,60.0,0.68,0.0,0.0,35.59,83.53,0.31,0.0,1.86,2.98,1.43,4.47,1.24,49.73,0.75,Lamine Diack,982317,Hatayspor,3091,Hatayspor
0.0,1.06,62.96,0.5,0.31,0.0,36.13,87.44,0.44,0.13,1.88,2.25,1.06,4.0,1.0,52.98,0.69,Maestro,1002146,Adana Demirspor,3101,Adana Demirspor
0.0,1.54,60.87,0.88,0.22,0.22,31.87,81.01,1.1,0.55,1.54,3.19,0.88,6.7,0.99,56.91,1.98,Mithat Pala,1016393,Çaykur Rizespor,3064,Çaykur Rizespor
0.0,0.4,40.0,0.99,0.2,0.49,18.97,73.85,1.48,1.19,1.58,1.68,0.89,2.37,1.78,37.17,0.3,Azizbek Turgunboev,971572,Sivasspor,3076,Sivasspor
0.0,1.62,65.52,1.2,0.09,0.34,28.26,81.53,0.85,0.17,1.11,1.02,0.77,3.16,1.71,42.22,0.51,Mehdi Bourabia,98003,Kayserispor,3072,Kayserispor
0.0,0.43,41.67,0.6,0.17,0.09,41.43,86.82,0.43,0.09,1.64,1.98,1.55,3.36,0.86,40.5,1.03,Giannis Papanikolaou,856988,Çaykur Rizespor,3064,Çaykur Rizespor
0.0,2.9,49.25,2.46,0.61,0.35,21.25,72.89,2.2,0.53,0.79,1.23,0.53,4.83,0.88,38.24,0.7,Ali Yavuz Kol,910091,Adana Demirspor,3101,Adana Demirspor
0.0,0.75,37.5,0.75,0.33,0.08,28.48,80.9,0.66,0.58,0.66,1.66,0.33,4.07,0.75,49.15,1.66,Efecan Karaca,60510,Alanyaspor,6362,Alanyaspor
