Top Çalma,Pas Arası,Top Uzaklaştırma,İsabetli Pas,İsabetli Pas %,İsabetli Orta,İsabetli Orta %,İsabetli Uzun Top,İsabetli Uzun Top %,Başarılı Top Sürme,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele,Kazanılan Toplam İkili Mücadele %,Oyuncu,Oyuncu ID,Takım,Takım ID,Takım Kısaltması,90s,minutesPlayed,appearances
1.71,2.16,5.21,32.46,75.84,0.0,0.0,3.51,43.33,0.0,2.61,1.89,4.5,62.5,Uğurcan Yazğılı,904303,Konyaspor,3085,Konyaspor,11.122222222222222,1001,15
2.28,1.07,2.15,19.07,75.13,0.67,22.73,1.07,44.44,0.54,3.22,0.4,3.63,47.37,Ogün Bayrak,903999,Göztepe,3054,Göztepe,7.444444444444445,670,11
1.48,0.98,2.75,27.34,74.53,0.2,8.33,1.48,28.85,0.59,2.66,0.39,3.05,46.27,Léo Dubois,552680,Eyüpspor,7040,Eyüpspor,10.166666666666666,915,12
1.44,1.24,2.89,20.23,68.53,0.83,21.05,2.27,39.29,0.41,2.89,0.83,3.72,47.37,Emre Taşdemir,190191,Gaziantep FK,5138,Gaziantep FK,4.844444444444444,436,8
0.58,1.17,1.75,40.91,88.61,0.58,10.0,1.75,50.0,0.0,2.92,0.0,2.92,83.33,Borna Barišić,335301,Trabzonspor,3051,Trabzonspor,1.711111111111111,154,8
0.83,0.68,2.49,32.01,80.49,0.08,25.0,3.84,44.35,0.08,1.43,0.83,2.26,43.48,Riechedly Bazoer,227196,Konyaspor,3085,Konyaspor,13.277777777777779,1195,15
2.46,1.58,2.28,20.0,74.51,0.53,25.0,1.4,42.11,0.35,3.16,1.23,4.39,51.02,Ömürcan Artan,1016384,Gaziantep FK,5138,Gaziantep FK,5.7,513,8
1.94,0.83,2.22,28.52,72.54,0.83,13.04,1.38,31.25,0.55,4.15,2.22,6.37,52.27,Jhon Espinoza,929098,Kasımpaşa,6063,Kasımpaşa,3.611111111111111,325,10
1.72,1.23,5.89,37.52,84.53,0.0,0.0,3.68,55.56,0.49,4.41,4.17,8.58,68.63,Bakhtiyar Zaynutdinov,887382,Beşiktaş,3050,Beşiktaş,4.0777777777777775,367,9
2.27,1.3,1.3,40.61,78.62,0.32,14.29,1.95,40.0,0.32,4.22,0.65,4.87,60.0,Onur Bulut,142494,Beşiktaş,3050,Beşiktaş,3.077777777777778,277,10
0.89,2.23,5.64,41.44,85.32,0.0,0.0,2.23,48.39,0.15,1.93,3.12,5.05,52.31,Sadık Çiftpınar,111811,Kasımpaşa,6063,Kasımpaşa,6.733333333333333,606,13
1.51,1.39,2.97,44.5,84.23,0.19,50.0,3.72,51.75,0.32,2.46,1.58,4.04,60.38,Lionel Carole,122922,Kayserispor,3072,Kayserispor,15.844444444444445,1426,17
1.15,0.77,1.35,34.81,83.03,0.58,42.86,3.27,50.0,0.38,2.12,0.38,2.5,40.63,Ömer Ali Şahiner,103912,Başakşehir FK,3086,Başakşehir FK,5.2,468,8
2.77,0.28,1.11,20.49,66.07,1.66,24.0,2.77,41.67,0.83,5.26,1.38,6.65,68.57,İsmail Köybaşı,43605,Göztepe,3054,Göztepe,3.611111111111111,325,17
3.97,0.69,1.9,15.72,64.54,1.04,42.86,1.73,38.46,0.35,5.36,0.17,5.53,56.14,Nazım Sangaré,169425,Göztepe,3054,Göztepe,5.788888888888889,521,12
2.47,0.99,1.36,32.64,87.13,0.25,22.22,1.61,65.0,0.74,3.83,0.87,4.7,40.86,Tayfur Bingöl,255957,Eyüpspor,7040,Eyüpspor,8.088888888888889,728,14
1.54,0.59,2.26,20.78,75.76,0.0,0.0,0.71,28.57,0.59,2.85,1.19,4.04,57.63,Salem M'Bakata,940367,Gaziantep FK,5138,Gaziantep FK,8.422222222222222,758,13
2.9,0.87,1.45,32.81,85.28,0.0,0.0,0.58,25.0,0.0,3.34,0.58,3.92,58.7,Achilleas Poungouras,783466,Sivasspor,3076,Sivasspor,6.888888888888889,620,12
1.64,0.96,3.89,42.88,86.38,0.07,100.0,3.21,51.65,0.07,2.19,1.91,4.1,51.28,Nicholas Opoku,885683,Kasımpaşa,6063,Kasımpaşa,14.644444444444444,1318,15
1.5,1.85,4.38,30.23,83.71,0.0,0.0,1.15,32.26,0.23,1.96,1.38,3.35,52.73,Recep Burak Yılmaz,904172,Hatayspor,3091,Hatayspor,8.666666666666666,780,13
2.95,0.37,4.06,22.13,67.42,0.37,11.11,1.48,25.0,0.37,3.69,1.48,5.16,66.67,Soner Gönül,867727,Samsunspor,3053,Samsunspor,2.7111111111111112,244,14
2.42,0.56,2.79,34.8,79.01,0.37,27.27,2.36,40.43,0.5,3.85,1.05,4.9,53.74,Abdulsamet Burak,900798,Adana Demirspor,3101,Adana Demirspor,16.122222222222224,1451,19
0.49,0.74,5.53,26.43,80.52,0.0,0.0,0.98,20.51,0.12,1.11,1.97,3.07,55.56,Dimitris Kolovetsios,68228,Kayserispor,3072,Kayserispor,8.133333333333333,732,10
0.3,1.8,3.9,39.6,78.11,0.0,0.0,2.1,26.92,0.0,1.8,6.0,7.8,65.0,Victor Nelsson,846148,Galatasaray,3061,Galatasaray,3.3333333333333335,300,11
0.78,1.94,4.66,52.37,87.1,0.0,0.0,3.1,42.11,0.0,0.78,5.43,6.21,66.67,Seyfettin Anil Yasar,999646,Çaykur Rizespor,3064,Çaykur Rizespor,2.577777777777778,232,9
1.15,0.81,5.06,35.08,82.15,0.0,0.0,3.24,43.64,0.13,2.02,1.42,3.44,55.43,Joseph Attamah,332963,Kayserispor,3072,Kayserispor,14.822222222222223,1334,16
1.78,0.76,4.84,45.38,89.0,0.0,0.0,3.31,52.0,0.25,2.04,1.78,3.82,57.69,Amar Gerxhaliu,1123371,Antalyaspor,3056,Antalyaspor,3.922222222222222,353,8
0.96,0.88,3.69,29.22,81.43,0.0,0.0,2.09,38.24,0.16,1.77,1.69,3.45,50.0,Jovan Manev,1111781,Adana Demirspor,3101,Adana Demirspor,12.455555555555556,1121,14
2.09,0.84,2.51,25.95,79.49,0.21,25.0,1.26,31.58,0.0,4.19,1.05,5.23,58.14,Elias Jelert,1126433,Galatasaray,3061,Galatasaray,4.777777777777778,430,17
0.7,1.41,5.16,22.97,71.53,0.23,12.5,1.17,22.73,0.0,0.94,0.94,1.88,34.78,Kerim Alıcı,758870,Hatayspor,3091,Hatayspor,4.266666666666667,384,9
1.98,1.24,2.48,33.22,76.57,0.5,40.0,2.23,32.14,0.25,2.48,0.74,3.22,44.83,Cengiz Demir,1015360,Hatayspor,3091,Hatayspor,4.033333333333333,363,9
