Gol,Başarılı Top Sürme,Başarılı Top Sürme %,Toplam Şut,İsabetli Şut,Yaratılan Büyük Şans,İsabetli Pas,İsabetli Pas %,Kilit Pas,İsabetli Orta,İsabetli Uzun Top,Top Çalma,Pas Arası,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,Oyuncu,Oyuncu ID,Takım,Takım ID,Takım Kısaltması,90s,minutesPlayed,appearances
0.17,1.33,53.33,1.66,0.33,0.0,31.44,78.1,1.16,1.33,2.16,1.33,1.33,4.33,1.66,48.65,1.66,Ahmed Ildız,849329,Göztepe,3054,Göztepe,6.011111111111111,541,17
0.0,0.45,44.44,0.79,0.23,0.06,40.87,85.95,0.4,0.06,2.15,1.75,2.04,3.34,1.02,44.77,1.19,Giannis Papanikolaou,856988,Çaykur Rizespor,3064,Çaykur Rizespor,17.666666666666668,1590,22
0.06,0.64,50.0,0.58,0.06,0.06,50.34,81.55,0.83,0.32,5.05,1.98,0.83,3.2,1.41,51.8,0.58,Amir Hadžiahmetović,795421,Beşiktaş,3050,Beşiktaş,15.633333333333333,1407,25
0.12,0.69,35.29,1.73,0.23,0.23,28.69,76.62,1.38,0.35,1.73,2.3,0.46,4.96,0.35,49.46,1.96,Bunyamin Balat,996317,Adana Demirspor,3101,Adana Demirspor,8.677777777777777,781,14
0.16,0.32,40.0,1.12,0.32,0.0,40.78,85.62,0.0,0.16,3.82,1.75,0.0,2.87,0.96,51.06,0.8,Alex Oxlade-Chamberlain,10577,Beşiktaş,3050,Beşiktaş,6.277777777777778,565,12
0.0,0.61,71.43,0.37,0.0,0.0,33.31,85.53,0.12,0.0,1.35,3.06,1.1,4.16,1.47,56.1,0.49,Cyril Mandouki,821461,Gaziantep FK,5138,Gaziantep FK,8.166666666666666,735,16
0.16,0.38,31.82,1.42,0.49,0.27,13.13,67.8,1.48,0.98,0.66,0.49,0.55,2.52,0.77,38.46,1.64,Yusuf Erdoğan,256663,Konyaspor,3085,Konyaspor,18.27777777777778,1645,25
0.0,0.86,90.91,0.26,0.0,0.0,45.52,89.47,0.17,0.0,2.42,1.55,1.47,3.63,0.95,50.96,1.21,Oleksandr Petrusenko,906673,Antalyaspor,3056,Antalyaspor,11.577777777777778,1042,18
0.21,0.32,27.27,2.12,0.85,0.0,34.69,85.86,1.48,0.42,1.59,0.21,0.42,1.27,1.69,34.57,0.85,Antonín Barák,330705,Kasımpaşa,6063,Kasımpaşa,9.455555555555556,851,20
0.0,1.32,66.67,1.32,0.28,0.19,31.13,82.54,1.22,0.66,2.07,2.54,0.56,5.27,0.28,51.75,1.41,Melih Ibrahimoglu,998462,Konyaspor,3085,Konyaspor,10.633333333333333,957,22
0.11,1.58,48.28,1.46,0.34,0.11,18.68,76.85,1.01,0.56,1.46,2.03,0.45,4.28,1.01,43.12,0.79,Altin Zeqiri,991742,Çaykur Rizespor,3064,Çaykur Rizespor,8.88888888888889,800,18
0.3,1.66,42.31,2.41,0.91,0.23,13.73,65.94,1.36,0.23,0.6,0.68,0.3,3.47,1.06,37.27,1.13,Aylton Boa Morte,883918,Kayserispor,3072,Kayserispor,13.255555555555556,1193,18
0.0,0.79,55.56,0.79,0.16,0.16,34.41,88.64,0.47,0.08,1.5,1.34,1.1,3.54,1.34,55.36,1.42,Abdulkadir Parmak,344225,Hatayspor,3091,Hatayspor,12.7,1143,18
0.0,0.34,36.36,1.02,0.17,0.42,19.76,74.44,1.44,1.1,1.53,1.87,1.1,2.54,1.87,37.68,0.34,Azizbek Turgunboev,971572,Sivasspor,3076,Sivasspor,11.78888888888889,1061,18
0.19,1.4,44.12,1.21,0.56,0.19,18.52,75.38,0.56,0.19,0.37,2.42,0.65,4.75,1.58,37.36,0.93,Halil Akbunar,217782,Eyüpspor,7040,Eyüpspor,10.744444444444444,967,22
0.0,0.64,66.67,0.16,0.0,0.16,22.34,80.81,0.32,0.0,1.13,3.21,1.61,4.98,1.77,62.69,1.13,Quentin Daubin,826605,Gaziantep FK,5138,Gaziantep FK,6.222222222222222,560,13
0.0,0.69,85.71,0.92,0.23,0.23,28.0,87.73,1.04,0.23,1.27,0.92,0.23,3.0,1.04,53.85,1.5,Berkay Özcan,806964,Çaykur Rizespor,3064,Çaykur Rizespor,8.677777777777777,781,16
0.25,0.92,52.38,1.83,0.67,0.33,26.67,78.43,1.17,0.92,1.5,1.0,0.17,3.42,1.33,41.61,1.67,Ramzi Safuri,186949,Antalyaspor,3056,Antalyaspor,12.0,1080,22
0.0,0.77,55.0,0.91,0.35,0.14,31.95,75.92,0.99,0.35,2.25,2.11,1.27,3.45,2.39,43.68,0.56,Ali Karimi,803869,Kayserispor,3072,Kayserispor,14.21111111111111,1279,22
0.0,1.36,55.81,1.02,0.11,0.34,24.54,79.45,1.02,0.11,0.91,1.02,0.74,2.83,1.64,38.92,0.45,Mehdi Bourabia,98003,Kayserispor,3072,Kayserispor,17.644444444444446,1588,23
0.11,1.19,36.67,3.04,0.65,0.33,20.28,69.52,0.98,0.43,1.19,1.41,0.76,3.69,3.14,44.37,1.08,Victor Hugo,1170954,Göztepe,3054,Göztepe,9.222222222222221,830,20
0.0,2.61,47.73,2.05,0.56,0.31,19.36,70.05,1.87,0.5,0.75,1.62,0.37,5.48,1.0,39.85,1.24,Ali Yavuz Kol,910091,Adana Demirspor,3101,Adana Demirspor,16.066666666666666,1446,22
0.07,0.28,40.0,0.64,0.21,0.28,22.77,75.47,0.78,0.28,1.64,1.78,0.78,4.06,1.07,47.06,1.99,Oğulcan Ülgün,1063942,Konyaspor,3085,Konyaspor,14.055555555555555,1265,21
0.07,0.56,42.11,1.13,0.21,0.07,26.29,82.52,0.7,0.42,2.11,1.34,0.92,3.17,0.35,50.0,1.34,Tayfun Aydoğan,816435,Adana Demirspor,3101,Adana Demirspor,14.188888888888888,1277,20
0.0,0.71,40.63,0.66,0.22,0.05,28.04,81.21,0.6,0.44,0.6,1.54,0.66,3.79,0.6,47.06,1.59,Efecan Karaca,60510,Alanyaspor,6362,Alanyaspor,18.18888888888889,1637,26
0.0,1.5,55.0,1.5,0.0,0.41,38.43,81.21,1.23,1.09,1.91,2.05,2.05,4.24,1.37,51.9,0.82,Berkan Kutlu,992912,Galatasaray,3061,Galatasaray,7.311111111111111,658,19
0.0,1.3,36.36,1.95,0.81,0.33,21.16,85.53,1.14,0.98,0.98,0.81,0.33,4.07,0.65,36.25,1.95,Louka Prip,976127,Konyaspor,3085,Konyaspor,6.144444444444445,553,17
0.0,0.23,100.0,0.45,0.0,0.11,15.79,70.0,0.34,0.23,1.13,2.03,0.79,3.5,0.9,51.32,1.47,Ahmet Aslan,1134098,Bodrum FK,202390,Bodrum FK,8.866666666666667,798,15
0.0,1.55,46.15,1.68,0.13,0.13,27.67,84.25,0.65,0.13,0.65,1.68,0.13,4.66,0.65,36.61,1.42,Cihan Çanak,1127335,Trabzonspor,3051,Trabzonspor,7.733333333333333,696,17
0.0,0.73,100.0,0.24,0.0,0.0,32.04,81.37,0.73,0.24,1.22,2.2,0.49,3.67,1.22,48.78,0.73,Jan Biegański,935966,Sivasspor,3076,Sivasspor,4.088888888888889,368,11
0.08,0.74,32.14,0.83,0.17,0.17,24.05,72.21,1.24,0.66,1.07,2.07,1.07,3.8,1.32,37.8,0.99,Rigoberto Rivas,837742,Hatayspor,3091,Hatayspor,12.1,1089,17
0.0,0.98,100.0,0.74,0.0,0.0,41.31,85.28,0.98,0.0,1.23,4.43,1.48,6.89,0.74,57.41,1.48,Yaw Ackah,984096,Kayserispor,3072,Kayserispor,4.066666666666666,366,19
0.11,0.43,40.0,1.17,0.21,0.0,51.53,88.83,0.85,0.53,3.61,1.17,0.43,2.44,0.74,42.25,0.85,Cafú,110956,Kasımpaşa,6063,Kasımpaşa,9.411111111111111,847,26
0.24,0.0,0.0,1.65,0.71,0.24,22.62,63.16,0.71,0.0,2.36,3.06,0.94,3.77,2.59,43.55,0.71,Doğan Erdoğan,257407,Göztepe,3054,Göztepe,4.2444444444444445,382,12
0.08,0.79,40.0,1.18,0.32,0.16,28.24,85.44,1.1,0.32,1.26,0.24,0.47,2.21,0.24,35.23,1.18,Rui Pedro,862672,Hatayspor,3091,Hatayspor,12.677777777777777,1141,19
0.0,2.9,60.0,0.0,0.0,0.0,25.16,86.67,1.94,1.94,1.94,2.9,0.0,10.65,0.0,55.0,4.84,Matchoi Djaló,989599,Başakşehir FK,3086,Başakşehir FK,1.0333333333333334,93,8
0.24,0.24,21.43,1.02,0.39,0.16,27.66,82.78,0.39,0.0,1.65,1.34,1.18,2.29,0.79,35.14,0.71,Soner Dikmen,847782,Antalyaspor,3056,Antalyaspor,12.688888888888888,1142,21
0.0,0.38,50.0,0.76,0.0,0.19,15.54,66.13,1.14,0.0,1.33,2.46,1.33,3.22,0.19,45.0,0.38,Samet Yalçın,789102,Bodrum FK,202390,Bodrum FK,5.277777777777778,475,12
0.0,0.4,50.0,0.6,0.2,0.0,18.12,70.87,0.4,0.0,2.21,1.81,2.01,2.82,2.42,45.61,0.6,Dorukhan Toköz,796133,Eyüpspor,7040,Eyüpspor,4.966666666666667,447,16
0.21,3.15,57.69,1.89,0.63,0.0,13.85,68.04,0.63,0.21,0.21,2.31,0.42,6.5,1.05,50.0,1.05,Hamidou Keyta,829610,Konyaspor,3085,Konyaspor,4.766666666666667,429,15
0.0,0.74,38.46,0.89,0.15,0.15,32.96,86.43,1.33,0.3,2.51,2.51,0.59,5.76,0.59,40.57,2.51,Ogün Özçiçek,859783,Gaziantep FK,5138,Gaziantep FK,6.766666666666667,609,16
0.06,0.38,54.55,0.95,0.25,0.06,17.3,75.62,0.19,0.06,0.76,2.28,1.27,4.31,1.46,45.96,1.65,Erdal Rakip,319871,Antalyaspor,3056,Antalyaspor,15.777777777777779,1420,21
0.16,0.98,24.49,1.55,0.65,0.08,14.55,64.96,1.23,0.49,0.41,2.53,0.82,4.82,0.9,39.11,1.39,Funsho Bamgboye,822469,Hatayspor,3091,Hatayspor,12.233333333333333,1101,23
0.0,1.18,57.14,0.88,0.0,0.0,40.88,85.8,0.59,0.0,2.35,2.65,0.88,5.0,1.18,46.67,1.18,Muhamed Buljubašić,1134586,Çaykur Rizespor,3064,Çaykur Rizespor,3.4,306,14
0.0,0.58,66.67,0.58,0.43,0.0,27.35,82.17,0.58,0.14,0.87,2.89,1.01,3.91,2.32,51.81,0.58,Baran Ali Gezek,1215110,Kayserispor,3072,Kayserispor,6.911111111111111,622,12
0.0,0.41,27.27,0.41,0.0,0.0,31.05,78.2,0.82,0.55,1.65,2.47,0.55,4.67,0.96,51.25,1.79,Ramazan Civelek,781408,Kayserispor,3072,Kayserispor,7.277777777777778,655,19
0.0,1.73,80.0,1.73,0.43,0.0,31.15,85.71,0.43,0.0,0.43,3.89,0.43,6.92,0.43,45.95,1.3,Ömer Faruk Beyaz,1022881,Başakşehir FK,3086,Başakşehir FK,2.311111111111111,208,11
0.0,0.2,100.0,0.0,0.0,0.0,33.09,80.38,0.39,0.0,2.56,1.18,1.38,2.36,1.77,42.0,0.98,Loret Sadiku,143356,Kasımpaşa,6063,Kasımpaşa,5.0777777777777775,457,11
0.0,1.21,66.67,1.82,0.3,0.91,18.18,76.92,3.33,3.33,0.91,1.21,0.91,3.33,1.21,45.45,0.91,Dimitrios Pelkas,139304,Başakşehir FK,3086,Başakşehir FK,3.3,297,11
0.12,0.85,32.56,2.37,0.67,0.18,21.18,80.18,0.55,0.12,0.67,1.03,0.24,3.77,0.55,36.04,1.95,Dal Varešanović,979109,Çaykur Rizespor,3064,Çaykur Rizespor,16.433333333333334,1479,24
0.0,1.38,45.45,0.28,0.0,0.0,31.65,78.77,0.28,0.55,1.65,4.13,1.65,6.88,0.28,46.43,1.38,Aksel Aktaş,863172,Adana Demirspor,3101,Adana Demirspor,3.6333333333333333,327,11
0.0,0.25,50.0,0.75,0.0,0.0,37.35,83.71,0.25,0.0,2.76,1.5,1.5,3.51,0.75,38.64,1.75,Emmanuel Boateng,943485,Konyaspor,3085,Konyaspor,3.988888888888889,359,8
