Gol,Başarılı Top Sürme,Başarılı Top Sürme %,Toplam Şut,İsabetli Şut,Yaratılan Büyük Şans,İsabetli Pas,İsabetli Pas %,Kilit Pas,İsabetli Orta,İsabetli Uzun Top,Top Çalma,Pas Arası,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,Oyuncu,Oyuncu ID,Takım,Takım ID,Takım Kısaltması,90s,minutesPlayed,appearances
0.0,0.29,42.86,1.36,0.1,0.29,44.95,85.78,2.63,2.44,3.7,1.51,0.49,3.12,1.07,49.43,1.46,Jakub Kałuziński,1019026,Antalyaspor,3056,Antalyaspor,20.533333333333335,1848,26
0.14,2.07,60.53,1.4,0.27,0.32,26.02,78.11,1.31,0.18,1.58,2.03,1.26,6.53,1.22,55.84,2.52,Ibrahim Olawoyin,1008173,Çaykur Rizespor,3064,Çaykur Rizespor,22.211111111111112,1999,24
0.07,0.66,55.56,0.79,0.33,0.39,27.28,77.72,1.71,1.97,1.18,1.78,0.92,2.96,1.05,53.04,0.53,Filip Kostić,126588,Fenerbahçe,3052,Fenerbahçe,15.21111111111111,1369,19
0.0,2.01,60.0,1.68,0.67,1.34,35.93,89.17,3.02,3.02,1.68,2.01,1.68,5.37,1.68,52.5,1.34,Mert Hakan Yandaş,856849,Fenerbahçe,3052,Fenerbahçe,2.977777777777778,268,11
0.12,2.3,55.88,2.42,0.67,0.42,28.39,84.35,1.82,0.73,0.79,1.21,0.24,5.14,0.61,47.74,1.69,Loide Augusto,1110708,Alanyaspor,6362,Alanyaspor,16.522222222222222,1487,18
0.37,1.84,52.63,3.22,1.2,0.37,31.53,84.28,1.65,0.74,0.83,1.1,0.74,4.6,0.74,44.27,1.65,Ernest Muçi,924670,Beşiktaş,3050,Beşiktaş,10.877777777777778,979,21
0.31,0.49,50.0,2.42,0.85,0.27,24.73,80.32,1.3,0.22,0.9,1.75,0.67,3.32,1.57,46.38,1.21,Carlo Holse,837012,Samsunspor,3053,Samsunspor,22.27777777777778,2005,24
0.28,2.0,60.42,1.93,0.83,0.21,30.14,79.2,1.86,0.89,1.79,1.38,0.14,4.2,0.55,53.08,0.83,Josip Brekalo,357598,Kasımpaşa,6063,Kasımpaşa,14.533333333333333,1308,20
0.13,1.92,83.33,3.08,0.9,0.26,30.77,80.0,2.44,1.79,1.15,1.28,0.13,5.77,0.38,54.55,2.56,Enis Bardhi,355024,Bodrum FK,202390,Bodrum FK,7.8,702,15
0.0,0.67,91.67,0.49,0.06,0.24,42.03,85.34,0.67,0.18,5.2,2.02,1.65,4.04,1.04,69.75,1.35,Berat Ayberk Özdemir,876857,Başakşehir FK,3086,Başakşehir FK,16.344444444444445,1471,25
0.2,1.06,43.24,1.46,0.73,0.6,37.73,78.56,2.19,1.53,3.06,1.26,0.93,3.72,0.73,35.08,1.39,Rachid Ghezzal,123228,Çaykur Rizespor,3064,Çaykur Rizespor,15.055555555555555,1355,19
0.0,0.25,50.0,0.58,0.13,0.17,42.79,88.0,0.96,0.08,2.17,2.54,0.96,4.13,0.54,52.09,1.38,Lucas Torreira,754794,Galatasaray,3061,Galatasaray,24.0,2160,25
0.16,0.38,46.67,1.14,0.43,0.49,39.9,82.14,2.11,1.68,3.14,0.98,0.33,2.06,0.98,35.22,0.7,Görkem Sağlam,795001,Hatayspor,3091,Hatayspor,18.444444444444443,1660,22
0.0,0.94,61.54,0.12,0.0,0.35,32.61,82.79,1.29,0.12,1.17,1.52,0.58,3.39,0.58,51.52,0.94,Fredrik Midtsjø,98198,Eyüpspor,7040,Eyüpspor,8.555555555555555,770,9
