Gol,Gol Beklentisi (xG),Toplam Şut,İsabetli Şut,Pozisyonu Gole Çevirme %,Başarılı Top Sürme,Başarılı Top Sürme %,Yaratılan Büyük Şans,Kilit Pas,Rakip Gol Bölgesinde İsabetli Pas,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,Oyuncu,Oyuncu ID,Takım,Takım ID,Takım Kısaltması,90s,minutesPlayed,appearances
0.37,0.28,2.13,0.66,17.24,1.1,50.0,0.07,1.17,3.3,2.35,1.69,42.31,0.88,George Pușcaș,190319,Bodrum FK,202390,Bodrum FK,13.644444444444444,1228,21
0.12,0.18,2.18,0.97,5.56,3.02,54.35,0.12,0.48,8.47,7.38,0.85,47.22,2.06,Denis Drăguş,841199,Trabzonspor,3051,Trabzonspor,8.266666666666667,744,13
0.1,0.06,1.25,0.19,7.69,0.77,44.44,0.1,0.87,7.14,2.6,1.64,51.16,0.77,Kingsley Schindler,169113,Samsunspor,3053,Samsunspor,10.366666666666667,933,22
0.0,0.11,3.25,1.08,0.0,0.81,42.86,0.54,3.25,18.98,4.07,1.36,52.63,1.08,Rony Lopes,190147,Alanyaspor,6362,Alanyaspor,3.688888888888889,332,15
0.11,0.18,1.59,0.85,6.67,2.76,52.0,0.0,0.53,7.0,6.26,2.12,45.4,1.38,Halil Dervişoğlu,930775,Gaziantep FK,5138,Gaziantep FK,9.422222222222222,848,16
0.17,0.22,1.63,0.51,10.53,0.34,57.14,0.0,0.69,4.55,2.23,5.58,54.17,1.54,Mehmet Umut Nayir,284767,Konyaspor,3085,Konyaspor,11.655555555555555,1049,21
0.32,0.26,1.81,0.78,17.86,1.23,42.22,0.06,0.84,3.89,3.05,0.65,36.54,1.3,Yusuf Barası,1000187,Adana Demirspor,3101,Adana Demirspor,15.433333333333334,1389,18
0.28,0.23,1.87,0.93,15.0,1.12,52.17,0.0,0.84,6.99,4.2,3.26,46.78,2.8,Bengali-Fodé Koita,51407,Sivasspor,3076,Sivasspor,10.722222222222221,965,14
0.41,0.51,2.98,1.35,13.64,1.08,66.67,0.0,0.81,5.41,1.89,3.11,42.05,0.54,Carlos Strandberg,333423,Hatayspor,3091,Hatayspor,7.388888888888889,665,18
0.15,0.18,1.6,0.44,9.09,1.16,38.1,0.29,0.87,5.08,3.05,4.94,43.31,1.74,Philippe Keny,988909,Başakşehir FK,3086,Başakşehir FK,6.888888888888889,620,14
0.1,0.09,1.93,0.51,5.26,1.22,40.0,0.2,1.63,7.73,3.56,0.71,47.73,1.83,Nabil Alioui,873049,Adana Demirspor,3101,Adana Demirspor,9.833333333333334,885,18
0.39,0.06,1.55,1.55,25.0,1.16,37.5,0.0,2.72,9.7,3.49,1.16,42.86,1.55,Salih Kavrazlı,964233,Adana Demirspor,3101,Adana Demirspor,2.577777777777778,232,9
0.0,0.12,1.66,0.24,0.0,1.89,50.0,0.0,1.42,8.53,4.03,0.47,44.19,1.18,Muhammet Tunahan Tasci,980612,Konyaspor,3085,Konyaspor,4.222222222222222,380,8
0.0,0.13,1.2,0.6,0.0,2.11,43.75,0.3,1.81,12.04,4.52,1.2,36.54,1.51,Gaëtan Laura,1004042,Samsunspor,3053,Samsunspor,3.3222222222222224,299,11
0.43,0.33,2.03,0.75,21.05,0.21,25.0,0.0,0.64,2.35,1.81,0.96,30.95,1.39,Abat Aimbetov,189193,Adana Demirspor,3101,Adana Demirspor,9.377777777777778,844,16
0.0,0.08,1.44,0.0,0.0,0.0,0.0,0.0,1.8,4.32,5.76,9.0,50.62,3.24,Celal Dumanli,903334,Bodrum FK,202390,Bodrum FK,2.7777777777777777,250,16
0.29,0.39,2.32,1.16,12.5,0.58,50.0,0.0,0.48,3.0,2.22,1.74,37.96,1.64,Adolfo Gaich,940692,Antalyaspor,3056,Antalyaspor,10.344444444444445,931,20
0.27,0.13,1.6,0.53,16.67,0.27,33.33,0.0,0.53,4.01,2.67,4.81,40.58,1.6,Turaç Böke,997681,Sivasspor,3076,Sivasspor,3.7444444444444445,337,15
0.64,0.49,1.6,1.28,40.0,1.91,37.5,0.0,0.96,7.66,3.19,3.19,31.75,0.96,David Datro Fofana,1090458,Göztepe,3054,Göztepe,3.1333333333333333,282,9
0.0,0.05,1.03,0.3,0.0,1.18,53.33,0.0,1.03,9.01,3.99,0.15,41.79,1.48,Andros Townsend,47992,Antalyaspor,3056,Antalyaspor,6.766666666666667,609,16
0.0,0.16,2.02,0.5,0.0,1.01,32.56,0.0,0.58,6.34,3.67,0.43,36.31,1.01,Gökdeniz Bayrakdar,952564,Bodrum FK,202390,Bodrum FK,13.88888888888889,1250,19
0.25,0.32,2.73,0.99,9.09,0.62,62.5,0.12,0.5,3.36,3.48,2.86,42.86,2.24,Stéphane Bahoken,153220,Kayserispor,3072,Kayserispor,8.044444444444444,724,14
0.26,0.3,1.68,1.04,15.38,0.39,60.0,0.0,0.65,4.01,1.29,3.63,40.43,0.91,Kenan Kodro,591140,Gaziantep FK,5138,Gaziantep FK,7.722222222222222,695,20
0.74,0.41,1.48,0.74,50.0,0.0,0.0,0.37,0.74,5.53,1.11,0.37,21.05,0.0,Queensy Menig,232318,Sivasspor,3076,Sivasspor,2.7111111111111112,244,10
0.0,0.08,2.13,0.0,0.0,3.54,71.43,0.71,0.71,4.96,5.67,2.13,47.83,0.0,Mirza Cihan,909289,Gaziantep FK,5138,Gaziantep FK,1.4111111111111112,127,8
0.15,0.1,1.63,0.77,9.52,0.93,28.57,0.08,0.39,3.95,4.49,1.01,38.38,2.56,Christophe Lungoyi,883355,Gaziantep FK,5138,Gaziantep FK,12.911111111111111,1162,17
0.2,0.11,1.83,0.41,11.11,1.22,46.15,0.0,1.02,6.52,5.5,0.2,46.67,3.26,Keita Baldé,317699,Sivasspor,3076,Sivasspor,4.911111111111111,442,11
0.26,0.12,2.11,1.06,12.5,0.79,42.86,0.0,0.79,4.49,4.22,1.06,44.44,1.32,Ozan Demirbağ,1654166,Adana Demirspor,3101,Adana Demirspor,3.7888888888888888,341,15
0.23,0.17,2.34,0.47,10.0,1.87,36.36,0.0,0.94,4.21,5.84,1.17,38.96,0.47,Emrecan Bulut,1480663,Çaykur Rizespor,3064,Çaykur Rizespor,4.277777777777778,385,15
0.0,0.43,3.41,1.46,0.0,0.0,0.0,0.0,0.0,2.43,3.89,1.95,40.0,2.43,Mustafa Hekimoğlu,1524303,Beşiktaş,3050,Beşiktaş,2.0555555555555554,185,10
0.26,0.4,2.31,1.03,11.11,0.26,50.0,0.0,0.51,4.89,2.06,1.29,26.53,0.77,Václav Jurečka,225850,Çaykur Rizespor,3064,Çaykur Rizespor,3.888888888888889,350,18
0.0,0.34,2.37,0.26,0.0,0.0,0.0,0.0,0.26,2.37,2.11,1.58,50.0,1.84,Serdar Dursun,123917,Alanyaspor,6362,Alanyaspor,3.8,342,12
0.0,1.19,2.39,0.8,0.0,0.0,0.0,0.8,0.8,4.78,2.39,4.78,29.03,1.59,Ercan Kara,843039,Samsunspor,3053,Samsunspor,1.2555555555555555,113,8
0.0,0.07,0.87,0.0,0.0,2.6,20.0,0.0,0.0,9.52,5.19,0.0,23.08,0.87,Haqi Osman,1126525,Bodrum FK,202390,Bodrum FK,1.1555555555555554,104,9
