Gol,Başarılı Top Sürme,Başarılı Top Sürme %,Toplam Şut,İsabetli Şut,Yaratılan Büyük Şans,İsabetli Pas,İsabetli Pas %,Kilit Pas,İsabetli Orta,İsabetli Uzun Top,Top Çalma,Pas Arası,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,Oyuncu,Oyuncu ID,Takım,Takım ID,Takım Kısaltması
1,0,0.0,5,1,1,64,68.09,6,5,6,10,5,17,3,41.67,7,Furkan Soyalp,226992,Gaziantep FK,5138,Gaziantep FK
1,8,38.1,11,4,0,268,76.35,10,8,16,24,12,52,7,45.38,20,Yusuf Özdemir,1084884,Alanyaspor,6362,Alanyaspor
1,4,66.67,3,1,0,123,78.85,3,3,8,5,6,13,6,47.5,4,Ahmed Ildız,849329,Göztepe,3054,Göztepe
1,2,25.0,20,6,4,125,69.44,15,9,4,5,6,22,8,37.97,15,Yusuf Erdoğan,256663,Konyaspor,3085,Konyaspor
1,8,34.78,10,2,1,221,72.22,14,7,8,22,12,39,11,38.76,9,Rigoberto Rivas,837742,Hatayspor,3091,Hatayspor
1,3,42.86,5,2,3,171,75.66,9,1,14,13,5,28,5,45.21,12,Oğulcan Ülgün,1063942,Konyaspor,3085,Konyaspor
1,5,29.41,17,5,1,149,74.13,10,3,5,10,3,26,16,44.68,12,Sander van de Streek,220155,Antalyaspor,3056,Antalyaspor
1,10,55.56,8,1,0,599,81.94,7,5,60,22,7,38,16,50.47,6,Amir Hadžiahmetović,795421,Çaykur Rizespor,3064,Çaykur Rizespor
1,9,42.86,14,4,2,299,85.92,11,4,15,3,5,26,3,36.25,14,Rui Pedro,862672,Hatayspor,3091,Hatayspor
1,0,0.0,6,3,1,76,67.26,2,0,8,11,3,14,4,39.13,3,Doğan Erdoğan,257407,Göztepe,3054,Göztepe
1,13,59.09,7,3,0,56,72.73,3,1,0,9,0,27,2,52.73,5,Hamidou Keyta,829610,Konyaspor,3085,Konyaspor
1,3,42.86,8,2,0,283,88.71,4,2,19,4,1,13,1,41.18,6,Cafú,110956,Kasımpaşa,6063,Kasımpaşa
1,11,26.83,13,4,1,128,65.64,10,5,4,25,5,47,11,39.46,12,Funsho Bamgboye,822469,Hatayspor,3091,Hatayspor
0,6,75.0,8,1,0,286,87.73,12,11,16,10,2,20,4,60.0,4,João Mário,97001,Beşiktaş,3050,Beşiktaş
0,6,60.0,6,0,1,320,83.33,7,1,18,27,11,41,18,57.84,8,İsmail Yüksek,952600,Fenerbahçe,3052,Fenerbahçe
0,3,33.33,18,1,2,555,86.99,34,27,49,19,9,45,11,48.28,23,Jakub Kałuziński,1019026,Antalyaspor,3056,Antalyaspor
0,6,54.55,8,3,3,663,87.81,13,2,35,43,14,68,8,53.15,20,Lucas Torreira,754794,Galatasaray S.K.,3061,Galatasaray S.K.
0,12,63.16,6,1,1,600,88.63,11,7,24,62,28,85,16,53.72,13,Melih Kabasakal,828872,Eyüpspor,7040,Eyüpspor
0,7,87.5,6,1,4,412,84.6,8,2,49,25,16,40,12,68.42,8,Berat Ayberk Özdemir,876857,Başakşehir FK,3086,Başakşehir FK
0,11,57.89,10,2,6,325,81.45,22,13,26,12,10,36,6,35.9,13,Rachid Ghezzal,123228,Çaykur Rizespor,3064,Çaykur Rizespor
0,8,61.54,1,0,3,279,82.79,11,1,10,13,5,29,5,51.52,8,Fredrik Midtsjø,98198,Eyüpspor,7040,Eyüpspor
0,3,75.0,14,4,1,128,80.0,10,9,4,6,1,20,3,52.27,11,Enis Bardhi,355024,Trabzonspor,3051,Trabzonspor
0,16,66.67,11,3,5,303,73.37,24,14,20,21,7,60,23,56.85,24,Olivier Kemen,280447,Başakşehir FK,3086,Başakşehir FK
0,2,20.0,7,1,1,539,87.36,6,4,25,42,32,58,26,53.16,14,Richard Cândido,897617,Alanyaspor,6362,Alanyaspor
0,1,100.0,6,1,2,319,83.95,8,3,22,22,13,26,21,69.12,3,Onur Ergün,893009,Başakşehir FK,3086,Başakşehir FK
0,11,61.11,12,2,8,212,72.35,16,2,19,12,7,42,7,40.5,19,Emre Kılınç,202032,Samsunspor,3053,Samsunspor
0,14,60.87,12,3,1,482,81.97,11,5,48,44,16,98,14,60.87,41,Charis Charisis,317297,Sivasspor,3076,Sivasspor
0,8,57.14,19,6,2,245,66.04,8,2,33,19,16,45,59,57.46,18,Musah Mohammed,1105505,Bodrum,202390,Bodrum
0,2,40.0,11,0,3,620,87.2,8,1,58,21,11,24,20,49.44,1,John Lundstram,149815,Trabzonspor,3051,Trabzonspor
0,18,78.26,14,5,0,755,89.35,6,3,36,17,14,55,19,56.92,20,Batista Mendy,859021,Trabzonspor,3051,Trabzonspor
0,2,28.57,6,3,4,189,77.14,15,6,13,12,5,18,6,45.28,4,İrfan Can Kahveci,226986,Fenerbahçe,3052,Fenerbahçe
0,2,28.57,6,2,1,170,81.73,3,0,15,15,5,24,6,42.25,7,Salih Uçan,135695,Beşiktaş,3050,Beşiktaş
0,9,45.0,6,3,2,197,76.36,14,13,15,8,6,32,3,44.3,15,Alex Pritchard,180009,Sivasspor,3076,Sivasspor
0,27,57.45,12,3,2,244,75.78,11,3,13,15,14,60,6,53.66,18,Mustafa Eskihellaç,899069,Gaziantep FK,5138,Gaziantep FK
0,12,60.0,11,0,0,573,83.53,5,0,30,48,23,72,20,49.73,12,Lamine Diack,982317,Hatayspor,3091,Hatayspor
0,12,60.0,4,1,1,319,81.59,5,0,26,18,8,32,11,50.0,2,Cher Ndour,1114422,Beşiktaş,3050,Beşiktaş
0,23,60.53,12,2,1,128,78.05,10,2,9,19,2,49,2,52.04,7,Pedro Brazão,981535,Bodrum,202390,Bodrum
0,12,54.55,30,14,3,195,75.0,17,11,32,11,4,33,1,45.95,10,Yusuf Sarı,896364,Adana Demirspor,3101,Adana Demirspor
0,16,61.54,3,1,1,162,81.41,4,1,10,27,6,62,4,56.41,19,İzzet Çelik,826836,Adana Demirspor,3101,Adana Demirspor
0,6,50.0,8,4,2,281,82.16,10,2,16,16,8,29,8,46.25,7,Samuel Moutoussamy,892624,Sivasspor,3076,Sivasspor
0,6,85.71,3,0,0,460,90.73,2,0,25,15,14,30,7,45.68,9,Oleksandr Petrusenko,906673,Antalyaspor,3056,Antalyaspor
0,7,63.64,8,3,3,291,79.95,14,1,19,27,18,51,10,48.03,18,Badou Ndiaye,228342,Gaziantep FK,5138,Gaziantep FK
0,4,66.67,6,1,3,154,79.79,8,3,2,15,8,22,3,49.02,3,Kerem Demirbay,142619,Galatasaray S.K.,3061,Galatasaray S.K.
0,17,62.96,8,5,0,578,87.44,7,2,30,36,17,64,16,52.98,11,Maestro,1002146,Adana Demirspor,3101,Adana Demirspor
0,14,60.87,8,2,2,290,81.01,10,5,14,29,8,61,9,56.91,18,Mithat Pala,1016393,Çaykur Rizespor,3064,Çaykur Rizespor
0,4,40.0,10,2,5,192,73.85,15,12,16,17,9,24,18,37.17,3,Azizbek Turgunboev,971572,Sivasspor,3076,Sivasspor
0,3,30.0,8,1,2,158,79.8,6,2,9,16,3,29,1,51.72,10,Bunyamin Balat,996317,Adana Demirspor,3101,Adana Demirspor
0,3,37.5,3,0,0,176,83.02,1,2,17,16,6,26,9,55.56,8,Taylan Antalyalı,190197,Bodrum,202390,Bodrum
0,4,40.0,18,3,2,128,69.95,5,4,5,11,7,20,13,47.83,5,Victor Hugo,1170954,Göztepe,3054,Göztepe
0,19,65.52,14,1,4,332,81.17,10,2,13,12,9,38,20,42.65,7,Mehdi Bourabia,98003,Kayserispor,3072,Kayserispor
0,5,41.67,7,2,1,481,86.82,5,1,19,23,18,39,10,40.5,12,Giannis Papanikolaou,856988,Çaykur Rizespor,3064,Çaykur Rizespor
0,33,49.25,28,7,4,242,72.89,25,6,9,14,6,55,10,38.24,8,Ali Yavuz Kol,910091,Adana Demirspor,3101,Adana Demirspor
0,4,66.67,6,1,0,145,88.96,2,1,7,1,8,12,6,56.25,7,Abdulkadir Parmak,344225,Hatayspor,3091,Hatayspor
0,7,41.18,11,1,1,119,78.29,7,3,11,14,3,23,7,40.0,3,Altin Zeqiri,991742,Çaykur Rizespor,3064,Çaykur Rizespor
0,7,46.67,13,7,0,85,72.65,7,7,11,10,2,22,6,51.85,5,Emrah Başsan,174141,Sivasspor,3076,Sivasspor
0,1,25.0,2,0,0,124,77.99,0,0,9,16,6,33,5,53.52,17,Celil Yüksel,806972,Samsunspor,3053,Samsunspor
0,11,45.83,13,1,1,200,83.68,5,1,3,12,1,32,5,35.92,9,Cihan Çanak,1127335,Trabzonspor,3051,Trabzonspor
0,4,100.0,3,0,0,119,79.87,0,0,4,16,3,22,10,59.26,2,Cyril Mandouki,821461,Gaziantep FK,5138,Gaziantep FK
0,2,100.0,2,0,0,81,88.04,2,0,4,11,3,15,2,65.38,2,Yaw Ackah,984096,Kayserispor,3072,Kayserispor
0,3,25.0,4,3,1,58,82.86,4,3,3,1,1,11,2,36.11,7,Louka Prip,976127,Konyaspor,3085,Konyaspor
0,3,100.0,1,0,0,97,78.23,2,1,4,9,0,15,4,54.29,3,Jan Biegański,935966,Sivasspor,3076,Sivasspor
0,9,37.5,9,4,1,343,80.9,8,7,8,20,4,49,9,49.15,20,Efecan Karaca,60510,Alanyaspor,6362,Alanyaspor
0,2,33.33,8,2,1,160,80.0,3,1,10,19,10,41,13,45.0,20,Erdal Rakip,319871,Antalyaspor,3056,Antalyaspor
0,9,69.23,6,0,0,120,84.51,8,3,8,8,4,25,1,50.0,8,Melih Ibrahimoglu,998462,Konyaspor,3085,Konyaspor
0,1,20.0,4,0,1,120,86.96,6,2,10,13,1,26,2,41.18,12,Ogün Özçiçek,859783,Gaziantep FK,5138,Gaziantep FK
0,8,61.54,10,1,0,262,83.97,7,2,22,15,10,40,4,53.66,18,Tayfun Aydoğan,816435,Adana Demirspor,3101,Adana Demirspor
0,7,53.85,4,2,0,277,78.47,8,3,19,12,9,24,19,41.75,5,Ali Karimi,803869,Kayserispor,3072,Kayserispor
0,2,50.0,4,0,1,82,66.13,6,0,7,13,7,17,1,45.0,2,Samet Yalçın,789102,Bodrum,202390,Bodrum
0,20,60.61,13,0,2,350,79.19,11,1,17,32,27,61,16,44.77,9,Anthony Junior Dennis,1484438,Göztepe,3054,Göztepe
0,8,50.0,8,0,2,225,82.42,8,8,14,10,11,21,6,47.37,4,Berkan Kutlu,992912,Galatasaray S.K.,3061,Galatasaray S.K.
